Ref,Val,Package,PosX,PosY,Rot,Side
"C10","1u","C0603_334",-32.385000,20.320000,90.000000,bottom
"C23","100n","C0603K_334",-60.960000,31.750000,0.000000,bottom
"C28","22p","C0603_334",-102.362000,13.462000,180.000000,bottom
"C29","22p","C0603_334",-102.362000,7.239000,0.000000,bottom
"D5","BYG22B","DO-214AC",-22.860000,29.845000,-90.000000,bottom
"Q8","S9015","SOT23",-54.610000,34.544000,-90.000000,bottom
"Q9","S9015","SOT23",-54.610000,30.480000,-90.000000,bottom
"Q10","S9015","SOT23",-68.580000,28.956000,90.000000,bottom
"Q11","S9015","SOT23",-67.818000,37.084000,90.000000,bottom
"R29","10k","R0603_334",-109.601000,15.875000,180.000000,bottom
"R31","1k","R0805_334",-30.480000,15.875000,0.000000,bottom
"R35","10k","R0603_334",-113.030000,15.875000,90.000000,bottom
"R37","100k","R0603_334",-58.420000,34.925000,180.000000,bottom
"R38","100k","R0603_334",-58.420000,36.957000,180.000000,bottom
"R39","100k","R0603_334",-67.818000,32.004000,0.000000,bottom
"R40","100k","R0603_334",-67.818000,34.036000,0.000000,bottom
"U$2","16MHz","CRYSTAL_3,4X2,7",-101.600000,11.430000,-90.000000,bottom
"C1","1n","C0603_334",54.610000,36.322000,180.000000,top
"C2","1n","C0603_334",54.610000,27.178000,180.000000,top
"C3","1n","C0603_334",67.310000,27.178000,0.000000,top
"C4","1n","C0603_334",67.310000,36.322000,0.000000,top
"C5","1n","C0603_334",73.279000,34.290000,90.000000,top
"C6","100n","C0603_334",109.474000,12.065000,90.000000,top
"C7","100n","C0603_334",66.802000,22.987000,180.000000,top
"C8","10u","CT3528_334",90.805000,34.290000,90.000000,top
"C9","1u","CT3216_334",87.122000,37.211000,-90.000000,top
"C11","4700u","E7,5-16_334",10.160000,13.335000,180.000000,top
"C12","4700u","E7,5-16_334",10.160000,29.845000,180.000000,top
"C13","100n","C0603_334",77.724000,33.274000,90.000000,top
"C14","6-9p","C0603_334",103.505000,43.053000,180.000000,top
"C15","6-9p","C0603_334",103.505000,41.021000,180.000000,top
"C16","100n","C0603_334",109.855000,34.925000,90.000000,top
"C17","10u","CT3528_334",86.868000,14.097000,0.000000,top
"C18","10u","CT3528_334",90.932000,20.193000,90.000000,top
"C19","omit","C0603_334",84.963000,25.273000,0.000000,top
"C21","100n","C0603_334",79.756000,19.558000,0.000000,top
"C22","100n","C0603_334",79.121000,22.098000,90.000000,top
"C25","100n","C0603_334",82.677000,20.447000,-90.000000,top
"C26","10u","B_3528-21W_334",48.260000,19.685000,180.000000,top
"C27","10u","B_3528-21W_334",48.260000,16.510000,180.000000,top
"D1","1N5819-B","DO41-7.6_210",13.970000,43.180000,90.000000,top
"D2","1N5819-B","DO41-7.6_210",10.160000,43.180000,90.000000,top
"D3","1N5819-B","DO41-7.6_210",6.350000,43.180000,-90.000000,top
"D4","1N5819-B","DO41-7.6_210",2.540000,43.180000,-90.000000,top
"D7","LL4148","DIOMELF3515N",76.200000,6.985000,-90.000000,top
"IC7","LM1117-5.0","SOT223",46.990000,10.160000,180.000000,top
"J1","XT60-M","AMASS_XT60-M",5.080000,68.580000,90.000000,top
"J2","B2B-XH","JST_B2B-XH-A(LF)(SN)",26.670000,29.845000,90.000000,top
"J3","B4B-XH","JST_B4B-XH-A(LF)(SN)",104.140000,24.130000,0.000000,top
"J4","B2B-XH","JST_B2B-XH-A(LF)(SN)",67.945000,14.351000,90.000000,top
"J5","B2B-XH","JST_B2B-XH-A(LF)(SN)",6.985000,53.340000,90.000000,top
"J6","B2B-XH","JST_B2B-XH-A(LF)(SN)",115.443000,18.415000,90.000000,top
"J7","B2B-XH","JST_B2B-XH-A(LF)(SN)",67.945000,6.350000,90.000000,top
"J8","B5B-XH","JST_B5B-XH-A(LF)(SN)",114.935000,30.480000,90.000000,top
"JP1","","1X09_325",103.632000,2.794000,0.000000,top
"JP2","B4B-XH","JST_B4B-XH-A(LF)(SN)",114.935000,45.085000,90.000000,top
"Q1","IRFP250","TO-247AD-V_400",15.240000,87.630000,0.000000,top
"Q2","IRFP250","TO-247AD-V_400",45.720000,87.630000,0.000000,top
"Q3","IRFP250","TO-247AD-V_400",76.200000,87.630000,0.000000,top
"Q4","IRFP250","TO-247AD-V_400",106.680000,87.630000,0.000000,top
"Q5","32768Hz","TC26H_204",107.315000,41.656000,0.000000,top
"Q6","IRLML6244","SOT23",31.750000,29.845000,180.000000,top
"Q7","BD911","TO220V",29.210000,10.160000,180.000000,top
"R1","1k","R0805_334",11.303000,78.613000,90.000000,top
"R2","1k","R0603_334",54.610000,34.290000,180.000000,top
"R3","10k","R0603_334",51.562000,34.290000,0.000000,top
"R4","0R2","R4527_334",25.400000,62.230000,90.000000,top
"R5","0R2","R4527_334",35.560000,62.230000,90.000000,top
"R6","1k","R0805_334",40.259000,78.486000,90.000000,top
"R7","1k","R0603_334",54.610000,29.210000,180.000000,top
"R8","10k","R0603_334",51.562000,29.210000,0.000000,top
"R9","0R2","R4527_334",45.720000,62.230000,90.000000,top
"R10","0R2","R4527_334",55.880000,62.230000,90.000000,top
"R11","1k","R0805_334",70.739000,78.486000,90.000000,top
"R12","1k","R0603_334",67.310000,29.210000,0.000000,top
"R13","10k","R0603_334",70.358000,29.210000,180.000000,top
"R14","0R2","R4527_334",66.040000,62.230000,90.000000,top
"R15","0R2","R4527_334",76.200000,62.230000,90.000000,top
"R16","1k","R0805_334",101.219000,78.486000,90.000000,top
"R17","1k","R0603_334",67.310000,34.290000,0.000000,top
"R18","10k","R0603_334",70.358000,34.290000,180.000000,top
"R19","0R2","R4527_334",86.360000,62.230000,90.000000,top
"R20","0R2","R4527_334",96.520000,62.230000,90.000000,top
"R21","10k","R0603_334",77.851000,35.814000,0.000000,top
"R22","560R","R0603_334",75.311000,34.290000,90.000000,top
"R23","1M","R0603_334",74.549000,15.621000,90.000000,top
"R24","10k","R0603_334",72.009000,18.415000,90.000000,top
"R25","1M","R0603_334",76.581000,15.621000,90.000000,top
"R26","10k","R0603_334",79.756000,17.526000,180.000000,top
"R27","4k7","R0603_334",85.471000,30.734000,180.000000,top
"R28","4k7","R0603_334",85.471000,28.702000,180.000000,top
"R30","1k","R0603_334",34.925000,29.845000,90.000000,top
"R32","68k","R0603_334",25.400000,17.145000,90.000000,top
"R33","18k","R0603_334",25.400000,20.320000,90.000000,top
"R34","1k","R0603_334",72.390000,6.985000,-90.000000,top
"R36","10k","R0603_334",90.805000,6.985000,-90.000000,top
"R41","1k","R0603_334",62.738000,22.860000,90.000000,top
"R42","1k","R0603_334",60.706000,22.860000,90.000000,top
"R43","1k","R0603_334",58.674000,22.860000,90.000000,top
"R44","1k","R0603_334",56.642000,22.860000,90.000000,top
"SPI0","","MA03-2_162",114.173000,9.271000,-90.000000,top
"U$1","TO220_HEATSINK","TO220_HEATSINK",29.210000,7.112000,0.000000,top
"U$3","LM4140","SOIC8",95.250000,35.814000,0.000000,top
"U1","ANALOG_DEVICES_AD8630ARZ-REEL7ANALOG_DEVICES_AD8630ARZ-REEL7_0_0","ANALOG_DEVICES_AD8630ARZ-REEL7_0",60.960000,31.750000,0.000000,top
"U2","MCP4725A0T-E/CH","SOT95P270X145-6N",81.661000,34.798000,0.000000,top
"U3","ADS1115","MSOP10",66.802000,20.447000,-90.000000,top
"U4","ATMEGA328P-AU","QFP80P900X900X120-32N",102.870000,12.065000,0.000000,top
"U5","OPA277","SOIC-08_150MIL",75.565000,21.590000,90.000000,top
"U6","MCP79410-I/SN","SOIC127P600X175-8N",106.045000,36.195000,-90.000000,top
"U7","ICL7660CPAZSOIC","SOIC8",86.233000,20.193000,0.000000,top
"U8","PC817X2NIP0F","SOT254P975X400-4N",83.820000,6.985000,0.000000,top
"VR1","TL431","TO92-CLP",29.210000,19.050000,0.000000,top
